root,hCoV-19/USA/WA1/2020:hCoV-19/Guangdong/20SF123/2020:hCoV-19/Fujian/8/2020:hCoV-19/Guangdong/20SF118/2020:hCoV-19/Hangzhou/ZJU-08/2020:hCoV-19/Wuhan/0126-C13/2020
seq2,hCoV-19/Wuhan/0125-A160/2020:hCoV-19/Wuhan/0125-A163/2020
seq3,hCoV-19/France/IDF-0515-isl/2020:hCoV-19/France/IDF-0515/2020
seq4,hCoV-19/UnitedArabEmirates/skmc-920569110/2020:hCoV-19/UnitedArabEmirates/L5630/2020:hCoV-19/UnitedArabEmirates/skmc-920568379/2020
seq5,hCoV-19/Guangdong/20SF117/2020:hCoV-19/Zhejiang/CN1/2020
seq6,hCoV-19/Wuhan/0126-C98/2020:hCoV-19/Wuhan/0126-C111/2020:hCoV-19/Wuhan/0126-C109/2020:hCoV-19/Wuhan/0126-C102/2020:hCoV-19/Wuhan/0126-C103/2020
seq7,hCoV-19/Wuhan/WHUH001/2020:hCoV-19/Wuhan/WHUH002/2020:hCoV-19/Wuhan/WHUH004/2020:hCoV-19/Wuhan/WHUH008/2020:hCoV-19/Wuhan/WHUH020/2020
seq8,hCoV-19/Japan/TY-WK-501/2020:hCoV-19/Japan/TY-WK-521/2020
seq9,hCoV-19/Thailand/Nonthaburi_193/2020:hCoV-19/Thailand/Bangkok_237/2020:hCoV-19/Thailand/SI200468-NT/2020:hCoV-19/Thailand/Bangkok_238/2020
seq10,hCoV-19/Germany/BY-ChVir-1019/2020:hCoV-19/Germany/BY-RKI-I-013857/2020:hCoV-19/Germany/BY-RKI-I-013858/2020
seq11,hCoV-19/Australia/SA0305/2020:hCoV-19/Australia/SA0214/2020:hCoV-19/Australia/VPRL014/2020
seq12,hCoV-19/Sichuan/SC-PHCC1-022/2020:hCoV-19/Germany/BY-ChVir-1020/2020:hCoV-19/Germany/BY-ChVir-929-2/2020:hCoV-19/Germany/BY-ChVir-929/2020:hCoV-19/Shanghai/SH0014/2020:hCoV-19/Germany/BY-ChVir-1017/2020
seq13,hCoV-19/Shandong/2020C1240470/2020:hCoV-19/Shandong/2020C1240476/2020
seq14,hCoV-19/Lishui/LS003/2020:hCoV-19/Lishui/LS111/2020:hCoV-19/Lishui/LS556/2020
seq15,hCoV-19/Guangdong/20SF632/2020:hCoV-19/Guangdong/20SF630/2020:hCoV-19/Guangdong/20SF840/2020
seq16,hCoV-19/Wuhan/0125-A145/2020:hCoV-19/Wuhan/0125-A137/2020
seq17,hCoV-19/HongKong/HKU-907a/2020:hCoV-19/HongKong/HKU-907b/2020:hCoV-19/Guangdong/2020XN4475-P0042/2020
seq18,hCoV-19/HongKong/HKPU6_2101/2020:hCoV-19/HongKong/HKU-200723-093/2020
