number of trees with integer branch lengths: 14
params = [0.49917898762951124, 0.0986842085681128]
tree	alleles	logLikelihood
1	61	-227.9628350480527
2	61	-227.9628350480527
3	61	-228.09114449669602
4	61	-228.1703938683502
5	61	-228.1703938683502
6	61	-228.3307365184254
7	61	-228.9168661079097
8	61	-228.9168661079097
9	61	-229.04517555655306
10	61	-229.04517555655306
11	61	-229.1244249282072
12	61	-229.1244249282072
13	61	-229.28476757828238
14	61	-229.28476757828238
