number of trees with integer branch lengths: 14
params = [0.4991789876295109, 0.09868420856811289]
tree	alleles	logLikelihood
1	61	-227.31413963006366
2	61	-227.31413963006366
3	61	-227.44244907870703
4	61	-227.52169845036119
5	61	-227.52169845036119
6	61	-227.68204110043635
7	61	-228.26817068992068
8	61	-228.26817068992068
9	61	-228.396480138564
10	61	-228.396480138564
11	61	-228.47572951021817
12	61	-228.47572951021817
13	61	-228.63607216029334
14	61	-228.63607216029334
